id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B|B	B|B Activated	B|CD14 Mono	B|CD16 Mono	B|CD4 Memory T	B|CD4 Naive T	B|CD8 T	B|DC	B|Eryth	B|Mk	B|NK	B|T activated	B|pDC	B Activated|B	B Activated|B Activated	B Activated|CD14 Mono	B Activated|CD16 Mono	B Activated|CD4 Memory T	B Activated|CD4 Naive T	B Activated|CD8 T	B Activated|DC	B Activated|Eryth	B Activated|Mk	B Activated|NK	B Activated|T activated	B Activated|pDC	CD14 Mono|B	CD14 Mono|B Activated	CD14 Mono|CD14 Mono	CD14 Mono|CD16 Mono	CD14 Mono|CD4 Memory T	CD14 Mono|CD4 Naive T	CD14 Mono|CD8 T	CD14 Mono|DC	CD14 Mono|Eryth	CD14 Mono|Mk	CD14 Mono|NK	CD14 Mono|T activated	CD14 Mono|pDC	CD16 Mono|B	CD16 Mono|B Activated	CD16 Mono|CD14 Mono	CD16 Mono|CD16 Mono	CD16 Mono|CD4 Memory T	CD16 Mono|CD4 Naive T	CD16 Mono|CD8 T	CD16 Mono|DC	CD16 Mono|Eryth	CD16 Mono|Mk	CD16 Mono|NK	CD16 Mono|T activated	CD16 Mono|pDC	CD4 Memory T|B	CD4 Memory T|B Activated	CD4 Memory T|CD14 Mono	CD4 Memory T|CD16 Mono	CD4 Memory T|CD4 Memory T	CD4 Memory T|CD4 Naive T	CD4 Memory T|CD8 T	CD4 Memory T|DC	CD4 Memory T|Eryth	CD4 Memory T|Mk	CD4 Memory T|NK	CD4 Memory T|T activated	CD4 Memory T|pDC	CD4 Naive T|B	CD4 Naive T|B Activated	CD4 Naive T|CD14 Mono	CD4 Naive T|CD16 Mono	CD4 Naive T|CD4 Memory T	CD4 Naive T|CD4 Naive T	CD4 Naive T|CD8 T	CD4 Naive T|DC	CD4 Naive T|Eryth	CD4 Naive T|Mk	CD4 Naive T|NK	CD4 Naive T|T activated	CD4 Naive T|pDC	CD8 T|B	CD8 T|B Activated	CD8 T|CD14 Mono	CD8 T|CD16 Mono	CD8 T|CD4 Memory T	CD8 T|CD4 Naive T	CD8 T|CD8 T	CD8 T|DC	CD8 T|Eryth	CD8 T|Mk	CD8 T|NK	CD8 T|T activated	CD8 T|pDC	DC|B	DC|B Activated	DC|CD14 Mono	DC|CD16 Mono	DC|CD4 Memory T	DC|CD4 Naive T	DC|CD8 T	DC|DC	DC|Eryth	DC|Mk	DC|NK	DC|T activated	DC|pDC	Eryth|B	Eryth|B Activated	Eryth|CD14 Mono	Eryth|CD16 Mono	Eryth|CD4 Memory T	Eryth|CD4 Naive T	Eryth|CD8 T	Eryth|DC	Eryth|Eryth	Eryth|Mk	Eryth|NK	Eryth|T activated	Eryth|pDC	Mk|B	Mk|B Activated	Mk|CD14 Mono	Mk|CD16 Mono	Mk|CD4 Memory T	Mk|CD4 Naive T	Mk|CD8 T	Mk|DC	Mk|Eryth	Mk|Mk	Mk|NK	Mk|T activated	Mk|pDC	NK|B	NK|B Activated	NK|CD14 Mono	NK|CD16 Mono	NK|CD4 Memory T	NK|CD4 Naive T	NK|CD8 T	NK|DC	NK|Eryth	NK|Mk	NK|NK	NK|T activated	NK|pDC	T activated|B	T activated|B Activated	T activated|CD14 Mono	T activated|CD16 Mono	T activated|CD4 Memory T	T activated|CD4 Naive T	T activated|CD8 T	T activated|DC	T activated|Eryth	T activated|Mk	T activated|NK	T activated|T activated	T activated|pDC	pDC|B	pDC|B Activated	pDC|CD14 Mono	pDC|CD16 Mono	pDC|CD4 Memory T	pDC|CD4 Naive T	pDC|CD8 T	pDC|DC	pDC|Eryth	pDC|Mk	pDC|NK	pDC|T activated	pDC|pDC
CPI-SS02DA892C8	BSG_PPIA	simple:P35613	simple:P62937	BSG	PPIA	True	False	False	curated	False	0.556	0.586	0.77						0.69					0.785	0.661	0.845			0.626	0.602	0.61	0.766		0.625	0.616	0.605	0.86	0.596	0.78						0.7					0.795	0.623	0.807			0.587			0.727					0.821	0.592	0.776						0.696					0.79	0.596	0.78						0.7					0.795	0.667	0.851		0.588	0.632	0.607	0.616	0.771		0.63	0.621	0.61	0.866	0.669	0.852		0.59	0.633	0.609	0.617	0.773		0.632	0.623	0.612	0.867	0.896	1.079	0.757	0.817	0.86	0.836	0.844	1.0		0.859	0.85	0.839	1.094	0.612	0.795						0.716					0.81	0.707	0.891		0.628	0.671	0.647	0.655	0.811		0.67	0.661	0.65	0.905		0.721						0.641					0.735	0.737	0.921		0.658	0.702	0.677	0.686	0.841		0.7	0.691	0.68	0.935
CPI-CS08B606C20	IL7_receptor_IL7	complex:IL7_receptor	simple:P13232		IL7	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS008EB600F	CCR2_CCL7	simple:P41597	simple:P80098	CCR2	CCL7	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0EBFE1854	EFNA1_EPHA4	simple:P20827	simple:P54764	EFNA1	EPHA4	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS09199F78C	CCR1_CCL23	simple:P32246	simple:P55773	CCR1	CCL23	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS09AFCF898	CCR2_CCL8	simple:P41597	simple:P80075	CCR2	CCL8	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS0A13FF479	IL1_receptor_inhibitor_IL1RN	complex:IL1_receptor_inhibitor	simple:P18510		IL1RN	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS01C6805BA	IL1_receptor_IL1RN	complex:IL1_receptor	simple:P18510		IL1RN	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS09CDFC0C5	IL1_receptor_inhibitor_IL1B	complex:IL1_receptor_inhibitor	simple:P01584		IL1B	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS093EA33BE	IL1_receptor_IL1B	complex:IL1_receptor	simple:P01584		IL1B	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS05F37AC7A	IL1_receptor_inhibitor_IL1A	complex:IL1_receptor_inhibitor	simple:P01583		IL1A	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS0465E25F9	IL1_receptor_IL1A	complex:IL1_receptor	simple:P01583		IL1A	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS09E0127D2	IL18_receptor_IL18	complex:IL18_receptor	simple:Q14116		IL18	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CS068959EAB	IL15_receptor_IL15	complex:IL15_receptor	simple:P40933		IL15	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0179FBFD3	TNFRSF10A_TNFSF10	simple:O00220	simple:P50591	TNFRSF10A	TNFSF10	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0FBFBF63E	NR3C1_IL10	simple:P04150	simple:P22301	NR3C1	IL10	True	True	False	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS0898D7F7F	TNFRSF10B_TNFSF10	simple:O14763	simple:P50591	TNFRSF10B	TNFSF10	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS041751A4D	CCR1_CCL18	simple:P32246	simple:P55774	CCR1	CCL18	True	True	False	guidetopharmacology.org	False	1.556																																																																																																																																																																									
CPI-SS0D57FCA8C	IDE_CCL23	simple:P14735	simple:P55773	IDE	CCL23	True	True	False	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS0F3DB0252	FPR2_CCL23	simple:P25090	simple:P55773	FPR2	CCL23	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0B2979A10	CCR10_CCL27	simple:P46092	simple:Q9Y4X3	CCR10	CCL27	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS064C772FE	CCR10_CCL28	simple:P46092	simple:Q9NRJ3	CCR10	CCL28	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0B887F7AC	CCR1_CCL13	simple:P32246	simple:Q99616	CCR1	CCL13	True	True	False	guidetopharmacology.org	False	1.556																																																																																																																																																																									
CPI-SS0C98C08DA	CCR2_CCL13	simple:P41597	simple:Q99616	CCR2	CCL13	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-CC0B5110FC9	IL27_IL27_receptor	complex:IL27	complex:IL27_receptor			True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CC0D8A77C69	IL35_IL35_receptor	complex:IL35	complex:IL35_receptor			True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS023BD53E7	IL6_receptor_IL6	complex:IL6_receptor	simple:P05231		IL6	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0638E0E29	CCR10_CCL7	simple:P46092	simple:P80098	CCR10	CCL7	True	True	False	I2D	False	1.556																																																																																																																																																																									
CPI-CS090610CD1	IL10_receptor_IL10	complex:IL10_receptor	simple:P22301		IL10	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS04B4619D0	TNF_TNFRSF1A	simple:P01375	simple:P19438	TNF	TNFRSF1A	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS00F4019EA	C3_C5AR2	simple:P01024	simple:Q9P296	C3	C5AR2	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0947A8549	FLT1_VEGFB	simple:P17948	simple:P49765	FLT1	VEGFB	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS033E6DE7E	NRP1_VEGFB	simple:O14786	simple:P49765	NRP1	VEGFB	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	NRP2	VEGFA	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	NRP1	VEGFA	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	True	False	True	I2D	False	1.556																																																																																																																																																																									
CPI-CS0B163FBF9	Noradrenaline_byDBH_ADRB2	complex:Noradrenaline_byDBH	simple:P07550		ADRB2	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS0DC57DE37	Desmosterol_byDHCR7_NR1H3	complex:Desmosterol_byDHCR7	simple:Q13133		NR1H3	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS086D3E39F	Desmosterol_byDHCR7_NR1H2	complex:Desmosterol_byDHCR7	simple:P55055		NR1H2	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0C916344D	AVP_OXTR	simple:P01185	simple:P30559	AVP	OXTR	True	False	True	I2D	False	1.556																																																																																																																																																																									
CPI-SS04B547174	OXT_OXTR	simple:P01178	simple:P30559	OXT	OXTR	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS098425155	ADRB2_VEGFB	simple:P07550	simple:P49765	ADRB2	VEGFB	True	True	False	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS02D8C453C	IL24_ESR2	simple:Q13007	simple:Q92731	IL24	ESR2	True	False	True	IMEx,InnateDB-All,MINT	False	1.556																																																																																																																																																																									
CPI-CS0A04F7238	Estradiol_byHSD17B1_ESR2	complex:Estradiol_byHSD17B1	simple:Q92731		ESR2	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS0B87D36A1	Estradiol_byCYP19A1_ESR2	complex:Estradiol_byCYP19A1	simple:Q92731		ESR2	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS0259A0EB4	Dehydroepiandrosterone_bySTS_PPARA	complex:Dehydroepiandrosterone_bySTS	simple:Q07869		PPARA	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS099F73A95	DHEAsulfate_bySULT2B_PPARA	complex:DHEAsulfate_bySULT2B	simple:Q07869		PPARA	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS0D89E7C19	DHEAsulfate_bySULT2B_PPARD	complex:DHEAsulfate_bySULT2B	simple:Q03181		PPARD	True	False	False	curated	False	1.556																																																																																																																																																																									
CPI-CS0412B081A	DHEAsulfate_bySULT2B_PPARG	complex:DHEAsulfate_bySULT2B	simple:P37231		PPARG	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS06C6527F4	Cholesterol_byDHCR7_RORA	complex:Cholesterol_byDHCR7	simple:P35398		RORA	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS073A20D23	ABCA1_APOA1	simple:O95477	simple:P02647	ABCA1	APOA1	True	False	False	curated	False	1.556																																																																																																																																																																									
CPI-CS037E41952	CUBN_AMN_complex_APOA1	complex:CUBN_AMN_complex	simple:P02647		APOA1	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS00A6D366F	ADORA2A_NAMPT	simple:P29274	simple:P43490	ADORA2A	NAMPT	True	True	False	I2D,IMEx,InnateDB-All,MINT	False	1.556																																																																																																																																																																									
CPI-SS08123AFFE	OXT_ESR2	simple:P01178	simple:Q92731	OXT	ESR2	True	False	True	I2D	False	1.556																																																																																																																																																																									
CPI-SS0241A1F57	NRP2_SEMA3C	simple:O60462	simple:Q99985	NRP2	SEMA3C	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS07D71C546	NOTCH2_IL24	simple:Q04721	simple:Q13007	NOTCH2	IL24	True	True	False	IMEx,InnateDB-All,MINT	False	1.556																																																																																																																																																																									
CPI-CS0210859AB	GMCSFR_CSF2	complex:GMCSFR	simple:P04141		CSF2	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS03E48EFEA	C3_C3AR1	simple:P01024	simple:Q16581	C3	C3AR1	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS05834E385	CD40_INSL3	simple:P25942	simple:P51460	CD40	INSL3	True	True	False	I2D	False	1.556																																																																																																																																																																									
CPI-SS083296041	CD40_CD40LG	simple:P25942	simple:P29965	CD40	CD40LG	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0651A6E1F	TFRC_HFE	simple:P02786	simple:Q30201	TFRC	HFE	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ACKR3	CXCL12	True	True	False	guidetopharmacology.org	False	1.556																																																																																																																																																																									
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS07F015051	CCR6_CCL20	simple:P51684	simple:P78556	CCR6	CCL20	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0F8C664D9	CXCR3_CCL20	simple:P49682	simple:P78556	CXCR3	CCL20	True	True	False	guidetopharmacology.org	False	1.556																																																																																																																																																																									
CPI-SS0DEDA3567	TNFSF10_RIPK1	simple:P50591	simple:Q13546	TNFSF10	RIPK1	True	False	True	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS0D5C54214	LTA_RIPK1	simple:P01374	simple:Q13546	LTA	RIPK1	True	False	True	IMEx,InnateDB-All,MINT	False	1.556																																																																																																																																																																									
CPI-SS048A2311A	TNF_RIPK1	simple:P01375	simple:Q13546	TNF	RIPK1	True	False	True	I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT	False	1.556																																																																																																																																																																									
CPI-SS0E7D5974D	TNF_TNFRSF1B	simple:P01375	simple:P20333	TNF	TNFRSF1B	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS08B7D54A3	TNF_FAS	simple:P01375	simple:P25445	TNF	FAS	True	False	True	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS05B4EB419	EFNA3_EPHA4	simple:P52797	simple:P54764	EFNA3	EPHA4	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS03B8E2D7A	TNF_ICOS	simple:P01375	simple:Q9Y6W8	TNF	ICOS	True	False	True	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS0AB21032D	PLXNB2_SEMA4C	simple:O15031	simple:Q9C0C4	PLXNB2	SEMA4C	False	True	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0B81F1BF5	TNF_SEMA4C	simple:P01375	simple:Q9C0C4	TNF	SEMA4C	True	False	True	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS04A5D6B6F	DLL1_NOTCH1	simple:O00548	simple:P46531	DLL1	NOTCH1	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS02EBC1BB0	TNF_NOTCH1	simple:P01375	simple:P46531	TNF	NOTCH1	True	False	True	I2D	False	1.556																																																																																																																																																																									
CPI-SS0593F278B	AGRN_PTPRS	simple:O00468	simple:Q13332	AGRN	PTPRS	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0FBC9234C	TNF_PTPRS	simple:P01375	simple:Q13332	TNF	PTPRS	True	False	True	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS0987A89AE	HLA-B_KIR3DL2	simple:HLAB	simple:P43630	HLA-B	KIR3DL2	False	True	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0BDD10277	HLA-F_KIR3DL2	simple:P30511	simple:P43630	HLA-F	KIR3DL2	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0659DBE72	EFNA4_EPHA4	simple:P52798	simple:P54764	EFNA4	EPHA4	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		LTB4R	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0FF49C823	EFNA1_EPHA1	simple:P20827	simple:P21709	EFNA1	EPHA1	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0C4FA643F	HLA-E_KLRC2	simple:P13747	simple:P26717	HLA-E	KLRC2	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0B0E09B1C	CTLA4_CD86	simple:P16410	simple:P42081	CTLA4	CD86	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0320FFAFC	CTLA4_CD80	simple:P16410	simple:P33681	CTLA4	CD80	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS07327E587	CD28_CD80	simple:P10747	simple:P33681	CD28	CD80	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0EDAE16B6	EPOR_KITLG	simple:P19235	simple:P21583	EPOR	KITLG	True	True	False	I2D	False	1.556																																																																																																																																																																									
CPI-SS02D7A1DDE	KIT_KITLG	simple:P10721	simple:P21583	KIT	KITLG	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0D954EA1C	PDGFRB_PDGFD	simple:P09619	simple:Q9GZP0	PDGFRB	PDGFD	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS056FF4363	CD48_CD244	simple:P09326	simple:Q9BZW8	CD48	CD244	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS07F60834D	MET_HGF	simple:P08581	simple:P14210	MET	HGF	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0B01CF3AB	CSF1R_CSF1	simple:P07333	simple:P09603	CSF1R	CSF1	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS099ACF7FB	IGFBP3_TMEM219	simple:P17936	simple:Q86XT9	IGFBP3	TMEM219	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0291D3D2E	PROC_PROCR	simple:P04070	simple:Q9UNN8	PROC	PROCR	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0EB5AEC83	SELL_CD34	simple:P14151	simple:P28906	SELL	CD34	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SC02DEB4893	IFNG_Type_II_IFNR	simple:P01579	complex:Type_II_IFNR	IFNG		True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SC00EA503F2	CALCA_RAMP1_complex	simple:P01258	complex:RAMP1_complex	CALCA		True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	PLAU	PLAUR	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS079728E8B	ADORA2B_ENTPD1	simple:P29275	simple:P49961	ADORA2B	ENTPD1	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0FF6CFDCA	ADORA3_ENTPD1	simple:P0DMS8	simple:P49961	ADORA3	ENTPD1	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS03E273233	ADORA2A_ENTPD1	simple:P29274	simple:P49961	ADORA2A	ENTPD1	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS02B567BC7	PLXNC1_SEMA7A	simple:O60486	simple:O75326	PLXNC1	SEMA7A	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS02371A6D6	VEGFA_EPHB2	simple:P15692	simple:P29323	VEGFA	EPHB2	True	False	True	I2D	False	1.556																																																																																																																																																																									
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS02EF3E1BA	TNFSF12_TNFRSF12A	simple:O43508	simple:Q9NP84	TNFSF12	TNFRSF12A	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS079DDF890	TNFSF12_TNFRSF25	simple:O43508	simple:Q93038	TNFSF12	TNFRSF25	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SC08932F30D	PTGER2_ProstaglandinE2_byPTGES	simple:P43116	complex:ProstaglandinE2_byPTGES	PTGER2		True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SC081B8028B	PTGER4_ProstaglandinE2_byPTGES	simple:P35408	complex:ProstaglandinE2_byPTGES	PTGER4		True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SC02CD655EB	CALCB_RAMP1_complex	simple:P10092	complex:RAMP1_complex	CALCB		True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SC0236D0574	TBXA2R_ThromboxaneA2_byTBXAS1	simple:P21731	complex:ThromboxaneA2_byTBXAS1	TBXA2R		True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS015E1E2C6	SELP_CD34	simple:P16109	simple:P28906	SELP	CD34	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0D8CC2248	SELL_PODXL2	simple:P14151	simple:Q9NZ53	SELL	PODXL2	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0F2FBF1F6	ROBO3_NELL2	simple:Q96MS0	simple:Q99435	ROBO3	NELL2	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS05A8552D7	EDA_EDAR	simple:Q92838	simple:Q9UNE0	EDA	EDAR	True	False	True	guidetopharmacology.org	False	1.556																																																																																																																																																																									
CPI-SC0AD976083	RORB_atRetinoicAcid_byALDH1A2	simple:Q92753	complex:atRetinoicAcid_byALDH1A2	RORB		True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SC0A1E8C5F6	RORB_atRetinoicAcid_byALDH1A1	simple:Q92753	complex:atRetinoicAcid_byALDH1A1	RORB		True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS070BE6035	NTRK2_NTN4	simple:Q16620	simple:Q9HB63	NTRK2	NTN4	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS07DFEBFA8	GPR19_ENHO	simple:Q15760	simple:Q6UWT2	GPR19	ENHO	True	True	False	guidetopharmacology.org	False	1.556																																																																																																																																																																									
CPI-SC05C71E348	CD47_SIRB1_complex	simple:Q08722	complex:SIRB1_complex	CD47		False	True	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0E9015902	CD47_SIRPG	simple:Q08722	simple:Q9P1W8	CD47	SIRPG	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS08B94BEB2	DSC1_DSG2	simple:Q08554	simple:Q14126	DSC1	DSG2	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	DSC2	DSG2	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-CS09C48BE1A	ProstaglandinD2_byAKR1C3_PTGDR2	complex:ProstaglandinD2_byAKR1C3	simple:Q9Y5Y4		PTGDR2	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS02B7540B0	SELP_SELPLG	simple:P16109	simple:Q14242	SELP	SELPLG	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-CS0F3C15BCC	ProstaglandinD2_byAKR1C3_PTGDR	complex:ProstaglandinD2_byAKR1C3	simple:Q13258		PTGDR	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS09B2D63C8	OPRL1_PNOC	simple:P41146	simple:Q13519	OPRL1	PNOC	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS06CBC985C	LTBR_LTB	simple:P36941	simple:Q06643	LTBR	LTB	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS076FEB261	FLT3_FLT3LG	simple:P36888	simple:P49771	FLT3	FLT3LG	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS073C1B796	CD52_SIGLEC10	simple:P31358	simple:Q96LC7	CD52	SIGLEC10	True	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0415CC75D	MERTK_GAS6	simple:Q12866	simple:Q14393	MERTK	GAS6	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS03A4F7DC8	AXL_GAS6	simple:P30530	simple:Q14393	AXL	GAS6	True	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0412C803A	TNFRSF8_TNFSF8	simple:P28908	simple:P32971	TNFRSF8	TNFSF8	False	True	False	curated	False	1.556																																																																																																																																																																									
CPI-SS04456F441	TNFSF4_TNFRSF4	simple:P23510	simple:P43489	TNFSF4	TNFRSF4	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS076940BCD	LGALS3_MERTK	simple:P17931	simple:Q12866	LGALS3	MERTK	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS02A170A99	SPN_SIGLEC1	simple:P16150	simple:Q9BZZ2	SPN	SIGLEC1	True	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	CD99	PILRA	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0C2C89A41	SELP_PODXL2	simple:P16109	simple:Q9NZ53	SELP	PODXL2	False	False	False	curated	False	1.556																																																																																																																																																																									
CPI-SS0D5A3EC0A	LCN2_SLC22A17	simple:P80188	simple:Q8WUG5	LCN2	SLC22A17	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS05D406038	PTGIR_GHRL	simple:P43119	simple:Q9UBU3	PTGIR	GHRL	True	True	False	InnateDB-All	False	1.556																																																																																																																																																																									
CPI-SS0A2949959	ICAM3_CD209	simple:P32942	simple:Q9NNX6	ICAM3	CD209	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	TNFSF10	TNFRSF10D	True	False	True	curated	False	1.556																																																																																																																																																																									
CPI-SS0C412B7DE	CD70_TNFRSF17	simple:P32970	simple:Q02223	CD70	TNFRSF17	True	False	True	InnateDB-All	False	1.556																																																																																																																																																																									
